"","unique(spps)"
"1","Alstroemeria andina"
"2","Alstroemeria pallida"
"3","Asteriscium aemocarpon"
"4","Azorella compacta"
"5","Azorella cryptantha"
"6","Azorella ruizii"
"7","Azorella trisecta"
"8","Pozoa coriacea"
"9","Diposis  bulbocastanum"
"10","Baccharis acaulis"
"11","Baccharis alpina"
"12","Baccharis caespitosa"
"13","Baccharis poeppigiana"
"14","Erigeron rosulatus"
"15","Gamochaeta alpina"
"16","Hypochaeris acaulis"
"17","Hypochaeris apargioides"
"18","Hypochaeris clarionoides"
"19","Hypochaeris eremophila"
"20","Mutisia lanigera"
"21","Mutisia rosea"
"22","Mutisia sinuata"
"23","Senecio adenophyllus"
"24","Senecio barbarae"
"25","Senecio clarioneifolius"
"26","Senecio coronopodiphyllus"
"27","Senecio crithmoides"
"28","Senecio donianus"
"29","Senecio eriophyton"
"30","Senecio eruciformis"
"31","Senecio evacoides"
"32","Senecio helgae"
"33","Senecio hickenii"
"34","Senecio hirtus"
"35","Senecio illapelinus"
"36","Senecio jorquerae"
"37","Senecio keshua"
"38","Senecio looseri"
"39","Senecio micropifolius"
"40","Senecio minutifolius"
"41","Senecio monttianus"
"42","Senecio nutans"
"43","Senecio oreinus"
"44","Senecio oreophyton"
"45","Senecio pfisteri"
"46","Senecio pissisi"
"47","Senecio polygaloides"
"48","Senecio puchii"
"49","Senecio pygmophyllus"
"50","Senecio reicheanus"
"51","Senecio scorzonerifolius"
"52","Senecio segethii"
"53","Senecio serratifolius"
"54","Senecio sundtii"
"55","Senecio tacorensis"
"56","Senecio tinctolobus"
"57","Senecio trifurcifolius"
"58","Trichocline cineraria"
"59","Trichocline deserticola"
"60","Chaetanthera euphrasioides"
"61","Chaetanthera flabellifolia"
"62","Chaetanthera kalinae"
"63","Chaetanthera lanata"
"64","Chaetanthera spathulifolia"
"65","Chaetanthera splendens"
"66","Chuquiraga oppositifolia"
"67","Doniophyton weddellii"
"68","Haplopappus rigidus"
"69","Haplopappus scrobiculatus"
"70","Leucheria bridgesii"
"71","Leucheria floribunda"
"72","Leucheria runcinata"
"73","Leucheria salina"
"74","Nardophyllum lanatum"
"75","Nassauvia cumingii"
"76","Nassauvia lagascae"
"77","Nassauvia uniflora"
"78","Perezia carthamoides"
"79","Perezia ciliosa"
"80","Perezia pilifera"
"81","Perezia poeppigii"
"82","Werneria aretioides"
"83","Werneria glaberrima"
"84","Werneria pinnatifida"
"85","Werneria spathulata"
"86","Oriastrum acerosum"
"87","Oriastrum achenohirsutum"
"88","Oriastrum apiculatum"
"89","Oriastrum chilense"
"90","Oriastrum dioicum"
"91","Oriastrum gnaphalioides"
"92","Oriastrum lycopodioides"
"93","Oriastrum minutum"
"94","Oriastrum pulvinatum"
"95","Oriastrum pusillum"
"96","Oriastrum revolutum"
"97","Oriastrum sphaeroidale"
"98","Oriastrum tarapacensis"
"99","Mniodes coarctata"
"100","Mniodes piptolepis"
"101","Mniodes schultzii"
"102","Mniodes subspicata"
"103","Xenophyllum weddellii"
"104","Diplostephium tacorense"
"105","Calopappus acerosus"
"106","Marticorenia foliosa"
"107","Kieslingia chilensis"
"108","Argylia adscendens"
"109","Cryptantha calycina"
"110","Cryptantha capituliflora"
"111","Cryptantha glomerulifera"
"112","Cryptantha involucrata"
"113","Cryptantha limensis"
"114","Cryptantha phaceloides"
"115","Cryptantha werdermanniana"
"116","Cardamine volckmannii"
"117","Menonvillea cuneata"
"118","Menonvillea frigida"
"119","Menonvillea macrocarpa"
"120","Menonvillea pinnatifida"
"121","Menonvillea virens"
"122","Schizopetalon rupestre"
"123","Stenodraba colchaguensis"
"124","Stenodraba imbricatifolia"
"125","Stenodraba lagunae"
"126","Stenodraba suffruticosa"
"127","Cremolobus chilensis"
"128","Neuontobotrys lanata"
"129","Neuontobotrys polyphylla"
"130","Mostacillastrum andinum"
"131","Atacama nivea"
"132","Calceolaria arachnoidea"
"133","Calceolaria cana"
"134","Calceolaria flavovirens"
"135","Calceolaria hypericina"
"136","Calceolaria pinifolia"
"137","Calceolaria segethii"
"138","Calceolaria stellariifolia"
"139","Moschopsis  monocephala"
"140","Gamocarpha alpina"
"141","Gamocarpha caespitosa"
"142","Gamocarpha compacta"
"143","Gamocarpha ventosa"
"144","Leucocera eryngioides"
"145","Valeriana castellanosii"
"146","Valeriana corynodes"
"147","Valeriana graciliceps"
"148","Valeriana interrupta"
"149","Valeriana nivalis"
"150","Valeriana petersenii"
"151","Valeriana pycnantha"
"152","Valeriana stricta"
"153","Valeriana urbanii"
"154","Stangea paulae"
"155","Stangea rhizantha"
"156","Silene andicola"
"157","Silene mandonii"
"158","Spergularia fasciculata"
"159","Spergularia pissisii"
"160","Stellaria weddellii"
"161","Arenaria rivularis"
"162","Pycnophyllum bryoides"
"163","Pycnophyllum macropetalum"
"164","Pycnophyllum molle"
"165","Pycnophyllum spathulatum"
"166","Reicheella andicola"
"167","Atriplex oreophila"
