"","species","genus","family","species.relative","genus.relative"
"1","Alstroemeria andina","Alstroemeria","Alstroemeriaceae",NA,NA
"2","Alstroemeria pallida","Alstroemeria","Alstroemeriaceae",NA,NA
"3","Asteriscium aemocarpon","Asteriscium","Apiaceae",NA,NA
"4","Azorella compacta","Azorella","Apiaceae",NA,NA
"5","Azorella cryptantha","Azorella","Apiaceae",NA,NA
"6","Azorella ruizii","Azorella","Apiaceae",NA,NA
"7","Azorella trisecta","Azorella","Apiaceae",NA,NA
"8","Pozoa coriacea","Pozoa","Apiaceae",NA,NA
"9","Diposis bulbocastanum","Diposis","Apiaceae",NA,NA
"10","Baccharis alpina","Baccharis","Asteraceae",NA,NA
"11","Baccharis caespitosa","Baccharis","Asteraceae",NA,NA
"12","Baccharis poeppigiana","Baccharis","Asteraceae",NA,NA
"13","Erigeron rosulatus","Erigeron","Asteraceae",NA,NA
"14","Gamochaeta alpina","Gamochaeta","Asteraceae",NA,NA
"15","Hypochaeris acaulis","Hypochaeris","Asteraceae",NA,NA
"16","Hypochaeris apargioides","Hypochaeris","Asteraceae",NA,NA
"17","Hypochaeris clarionoides","Hypochaeris","Asteraceae",NA,NA
"18","Hypochaeris eremophila","Hypochaeris","Asteraceae",NA,NA
"19","Mutisia lanigera","Mutisia","Asteraceae",NA,NA
"20","Mutisia rosea","Mutisia","Asteraceae",NA,NA
"21","Mutisia sinuata","Mutisia","Asteraceae",NA,NA
"22","Senecio adenophyllus","Senecio","Asteraceae",NA,NA
"23","Senecio barbarae","Senecio","Asteraceae",NA,NA
"24","Senecio clarioneifolius","Senecio","Asteraceae",NA,NA
"25","Senecio coronopodiphyllus","Senecio","Asteraceae",NA,NA
"26","Senecio crithmoides","Senecio","Asteraceae",NA,NA
"27","Senecio donianus","Senecio","Asteraceae",NA,NA
"28","Senecio eriophyton","Senecio","Asteraceae",NA,NA
"29","Senecio eruciformis","Senecio","Asteraceae",NA,NA
"30","Senecio evacoides","Senecio","Asteraceae",NA,NA
"31","Senecio helgae","Senecio","Asteraceae",NA,NA
"32","Senecio hickenii","Senecio","Asteraceae",NA,NA
"33","Senecio hirtus","Senecio","Asteraceae",NA,NA
"34","Senecio illapelinus","Senecio","Asteraceae",NA,NA
"35","Senecio jorquerae","Senecio","Asteraceae",NA,NA
"36","Senecio looseri","Senecio","Asteraceae",NA,NA
"37","Senecio micropifolius","Senecio","Asteraceae",NA,NA
"38","Senecio minutifolius","Senecio","Asteraceae",NA,NA
"39","Senecio monttianus","Senecio","Asteraceae",NA,NA
"40","Senecio nutans","Senecio","Asteraceae",NA,NA
"41","Senecio oreinus","Senecio","Asteraceae",NA,NA
"42","Senecio oreophyton","Senecio","Asteraceae",NA,NA
"43","Senecio pissisi","Senecio","Asteraceae",NA,NA
"44","Senecio polygaloides","Senecio","Asteraceae",NA,NA
"45","Senecio puchii","Senecio","Asteraceae",NA,NA
"46","Senecio pygmophyllus","Senecio","Asteraceae",NA,NA
